,city,monthly_cost_of_living
0,aberdeen-sd,
1,aberdeen-wa,
2,abilene-tx,
3,abingdon-md,
4,adelanto-ca,
5,akron-oh,
6,alamogordo-nm,
7,albany-ga,
8,albany-ny,
9,albany-or,
10,albert-lea-mn,
11,albuquerque-nm,
12,alexandria-la,
13,alexandria-mn,
14,alexandria-va,
15,allen-tx,
16,allentown-pa,
17,alpena-mi,
18,alpharetta-ga,
19,alton-il,
20,amarillo-tx,
21,ames-ia,
22,anaheim-ca,
23,anchorage-ak,
24,anderson-sc,
25,andover-ma,
26,ann-arbor-mi,
27,annapolis-md,
28,apple-valley-ca,
29,appleton-wi,
30,arlington-tx,
31,arlington-va,
32,asheville-nc,
33,ashland-ma,
34,ashland-oh,
35,aspen-co,
36,astoria-ny,
37,astoria-or,
38,athens-ga,
39,athens-oh,
40,atlanta-ga,
41,atlantic-city-nj,
42,auburn-al,
43,augusta-ga,
44,augusta-me,
45,aurora-il,
46,austin-tx,
47,avon-co,
48,avondale-az,
49,bakersfield-ca,
50,baltimore-md,
51,baton-rouge-la,
52,battle-creek-mi,
53,bayonne-nj,
54,beaumont-tx,
55,beaverton-or,
56,beckley-wv,
57,bedminster-township-nj,
58,belleville-il,
59,bellevue-wa,
60,bellingham-wa,
61,belmont-ca,
62,beloit-wi,
63,bemidji-mn,
64,bend-or,
65,bentonville-ar,
66,bergen-county-nj,
67,berkeley-ca,
68,bethlehem-pa,
69,beverly-hills-ca,
70,billings-mt,
71,biloxi-ms,
72,binghamton-ny,
73,birmingham-al,
74,bismarck-nd,
75,blacksburg-va,
76,bloomington-il,
77,bloomington-in,
78,boca-raton-fl,
79,boise-id,
80,bolingbrook-il,
81,boston-ma,
82,boulder-co,
83,bowling-green-ky,
84,bowling-green-oh,
85,bozeman-mt,
86,bradenton-fl,
87,breckenridge-co,
88,bremerton-wa,
89,bronx-ny,
90,brookhaven-ny,
91,brooklyn-ny,
92,brownsville-tx,
93,brunswick-ga,
94,brunswick-me,
95,buffalo-ny,
96,buford-ga,
97,burlington-ia,
98,burlington-vt,
99,butte-mt,
100,cabot-ar,
101,cambridge-ma,
102,canton-oh,
103,cape-girardeau-mo,
104,carbondale-il,
105,carlsbad-ca,
106,carson-city-nv,
107,casper-wy,
108,cedar-rapids-ia,
109,central-valley-ny,
110,centreville-va,
111,champaign-il,
112,chandler-az,
113,chapel-hill-nc,
114,charleston-sc,
115,charleston-wv,
116,charlotte-nc,
117,charlottesville-va,
118,chattanooga-tn,
119,cherry-hill-nj,
120,chesapeake-va,
121,chesterfield-mi,
122,cheyenne-wy,
123,chicago-il,
124,chico-ca,
125,christiansburg-va,
126,cincinnati-oh,
127,clarksville-tn,
128,clearwater-fl,
129,cleveland-oh,
130,clifton-nj,
131,coeur-d-alene-id,
132,college-park-md,
133,college-station-tx,
134,colorado-springs-co,
135,columbia-md,
136,columbia-mo,
137,columbia-sc,
138,columbus-ga,
139,columbus-in,
140,columbus-oh,
141,concord-nc,
142,concord-nh,
143,conroe-tx,
144,conway-ar,
145,cookeville-tn,
146,corpus-christi-tx,
147,costa-mesa-ca,
148,crescent-city-ca,
149,crestview-fl,
150,crystal-lake-il,
151,cumberland-md,
152,dallas-tx,
153,danbury-ct,
154,danville-ca,
155,davenport-ia,
156,davis-ca,
157,dayton-oh,
158,daytona-beach-fl,
159,deland-fl,
160,decatur-il,
161,deerfield-beach-fl,
162,deltona-fl,
163,denton-tx,
164,denver-co,
165,des-moines-ia,
166,des-plaines-il,
167,detroit-mi,
168,dickinson-nd,
169,dothan-al,
170,dover-de,
171,doylestown-pa,
172,dublin-oh,
173,duluth-ga,
174,duluth-mn,
175,durango-co,
176,durham-nc,
177,east-lansing-mi,
178,east-providence-ri,
179,eau-claire-wi,
180,eden-prairie-mn,
181,edison-nj,
182,el-centro-ca,
183,el-paso-tx,
184,elkhart-in,
185,elko-nv,
186,erie-pa,
187,eugene-or,
188,eureka-ca,
189,evansville-in,
190,everett-wa,
191,fairbanks-ak,
192,fairfax-va,
193,fairfield-ca,
194,fairfield-ct,
195,fargo-nd,
196,farmington-hills-mi,
197,farmington-mo,
198,farmington-nm,
199,fayetteville-ar,
200,fayetteville-nc,
201,flagstaff-az,
202,flanders-nj,
203,flint-mi,
204,florence-al,
